,codigo,titulo,sinopse,diretor,ano,tema,plays
24,169,O homem nu,"Sílvio Proença precisa embarcar a contragosto para São Paulo, a fim de divulgar seu novo livro. No aeroporto, encontra um grupo de velhos companheiros. Com o embarque cancelado devido a uma forte tempestade, o grupo segue para o apartamento de Marinalva, sobrinha de um dos amigos de Proença, onde o grupo dá continuidadeà reunião. Seduzido pela música e pelos encantos de Marinalva, Proença passa a noite ali mesmo, despertando no dia seguinte, completamente nu. Ainda zonzo da ressaca, vai apanhar o pão deixado à porta do apartamento. É quando o vento fecha a porta e o deixa completamente nu do lado de fora.",Hugo Carvana,1997,,57094
25,170,Isabel e o cachorro flautista,"Isabel mora na praia e tem uma ligação especial com o mar. No dia da festa de Iemanjá, um cachorro pega a flauta de Isabel e foge, mergulhando no mar. Isabel mergulha atrás dele, e a aventura continua até os dois chegarem numa cidade submersa: São Paulo",Christian Saghaard,2004,"Mar, Música, Fantasia, cahorro",89075
26,171,Fragmentos da vida,"Na construção de uma São Paulo que ""crescia desafiando as nuvens, levando nessa ansia incontida o suor de operários humildes"", um trabalhador cai de um andaime e à beira da morte pede para o filho trilhar o caminho da ""honestidade, do trabalho e da honradez"". O filho porém prefere tornar-se um vagabundo e tudo faz para ser preso afim de sobreviver.",José Medina,1929,Literatura,51100
27,172,Terra estrangeira,"Brasil, 1990. Plano Collor é anunciado. Sem perspectiva em um país tomado pelo caos, Paco, um jovem de 20 anos de i dade, opta pelo exílio após a morte da mãe. Parte para Portugal, aceitando uma encomenda suspeita para a viagem. Em Lisboa, Alex, uma brasileira de 25 anos, acaba de deixar o namorado, envolvido na mesma teia de contrabando. Os destinos desses dosi jovens vão se aproximar, inexoravelmente, numa fuga desesperada...",Walter Salles,1995,,96107
28,173,Historietas assombradas (para crianças malcriadas),"Três  histórias que sua avó não contou, senão você ia fazer xixi na cama",Victor-Hugo Borges,2005,Não Disponível,68702
29,174,Tudo é Brasil,"Semi-documentário que traz a tona a história secreta do filme ""It´s All True"", dirigido e rodado no Brasil por Orson Welles, em 1942. Retrata o cotidiano dos negros, o subúrbio carioca, os jangadeiros de Fortaleza e revela o encanto que o cineasta adquiriu ao conhecer a cultura e a criatividade do povo brasileiro.",Rogério Sganzerla,1997,Embarcação,433
30,175,O nordestino e o toque de sua lamparina,"O Nordestino e Toque de sua Lamparina, retrata a vida sofrida do sertanejo do Brasil, mostrando seus sonhos, fantasias e criatividade ao encontrar uma lamparina mágica.",Ítalo Maia,1998,"Nordeste, nordestino, sertão",73554
31,176,Mitos do mondo: como surgiu a noite?,"Baseado em um mito de criação dos índios brasileiros, esta animação nos leva à idade dos sonhos, onde os objetos tinham vida e onde a noite vivia aprisionada emum coco que pertencia à Cobra Grande - uma terrível feiticeira.",Andrés Lieban,2005,Não Disponível,8807
32,177,Linguagem de Orson Welles,"Ensaio histórico sobre a vinda de Orson Welles ao Rio em 1942, conjugado a uma descrição sumária do carnaval carioca e do acidente de jangada na Barra da Tijuca onde pereceu o jangadeiro Jacaré em 19 de maio de 1942.",Rogério Sganzerla,1991,,72186
33,178,O tamanho que não cai bem,"O que acontece quando um anão se apaixona por uma mulher gigante? Muita coisa, provando que na paixão não existem tamanhos. ",Tadao Miaqui,2001,,54263
34,179,Caçadores de Saci,"A chacará da pacata família de Onofre vem sendo assombrada por saci: a pipoca não arrebenta, o ovo não choca, o leite sempre azeda, o feijão vive queimando na panela, entre outros estranhos acontecimentos. Para resgatar a tranquilidade da casa, Onofre resolve contratar os serviços de Valdevino, o maior caçador de sacis do sertão.",Sofia Federico,2005,"Saci, Lendas Brasileiras, Cultura Brasileira, Folklory, ecologia",68871
35,445,Geraldo Filme,Um mergulho no universo do samba e na cultura negra paulista através da obra do compositor Geraldo Filme.,Carlos Cortez,1998,,89849
36,180,Maré capoeira,"Maré é o apelido de João, um menino de dez anos que sonha ser mestre de capoeira como seu pai, dando continuidade a uma tradição familiar que atravessa várias gerações. O curta mistura ficção e documentário para contar uma pequena história de amor e guerra.",Paola Leblanc,2005,,1965
37,181,Dona Cristina perdeu a memória,"Antônio, um menino de 8 anos, descobre que sua vizinha Cristina, de 80, conta histórias sempre diferentes sobre a sua vida, os nomes de seus parentes e os santos do dia. E Dona Cristina acredita que Antônio pode ajudá-la a recuperar a memória perdida.",Ana Luiza Azevedo,2002,Velhice,21388
38,182,Rossi atualidades Nº126,"Como um característico cinejornal da época, Rossi Atualidades nº 126 abordava diversos assuntos, mas a ausência de uma consciência preservacionista fez com que apenas um tema chegasse até os dias de hoje. Trata-se de uma reportagem sobre um grupo de senhoras apulistas que tomaram em ""Um Sarau no Paço de São Cristovão"". Mesmo com a degradação imposta pelo tempo, o filme no spossibilita o ocntato com a história, constituindo-se como documento privilegiado para a análise da sociedade brasileira e das auto-representações da elite local.",José Medina,1926,,17206
39,183,Paisagem de meninos,"Numa cidade do interior do Brasil, nos anos 30, cinco meninos tentam superar um grande obstáculo que pode impedi-los de assistir ao último capítulo de um seriado de aventuras, Haroldo, o Homem Relâmpago, ansiosamente aguardado durante semanas.",Fernando Severo,2003,Não Informado,89709
40,184,O prisioneiro da grade de ferro (Auto-retratos),"O sistema carcerário brasileiro visto de dentro: um ano antes da desativação da Casa de detenção do Carandiru, detentos aprendem a utilizar câmeras de vídeo e documentam o cotidiano do maior presídio da América Latina.",Paulo Sacramento,2004,"Presídio, Casa de Detenção",7673
41,443,Jorjão,"Um perfil do diretor de bateria de escolas de samba, Mestre Jorjão. Ele fala da sua relação com os ritmistas, da sua criatividade na hora de criar as famosas ""Paradinhas"", da polêmica que causou ao introduzir uma batida funk na bateria da Unidos da Viradouro e de como começou na bateria da escola de samba Mocidade Independente de Padre Miguel. O filme traz fortes imagens da bateria da Mocidade evoluindo no desfile de carnaval na Avenida Marquês de Sapucaí sob comando do mestre e o depoimento da sua esposa que esperou vinte anos para se casar com ele.",Paulo Tiefenthaler,2005,,46176
42,185,Á João Guimarães Rosa,"Imagem do sertão mineiro (tipos humanos, aspectos geográficos, afazeres domésticos) e trechos narrados do romance ""Grande Sertão: Veredas"".",Marcelo G. Tassara,1968,Literatura,79111
43,186,Abry,"Aos 84 anos de idade,  Lúcia Rocha interna-se num hospital em São Paulo para fazer exames no coração. Ao receber a notícia sobre o risco que corria sua vida, Lúcia lacônica, diz ao médico - então abre! É a segunda vez que ela submete-se a uma cirurgia de pontes de safena. A partir deste gesto, nasce o documentário Abry (com y, signo do inconsciente, de acordo com a nomenclatura inventada pelo filho Glauber Rocha). Para relatar suas memórias, ela convida o cineasta Joel Pizzini que oferece sua mini-câmera com instrumento amplificador do imaginário de Lúcia. Abry é um mergulho poético no universo fabulador de Lúcia Rocha, reconstruindo sua trajetória no cinema brasileiro através de sons imagens e personagens com quem conviveu de perto.",Joel Pizzini e Paloma Rocha,2003,,26771
44,187,Alma corsária,"Através da amizade de dois poetas, que lançam um livro a quatro mãos, o filme faz um inventário de três décadas da história brasileira.",Carlos Reichenbach,1993,,26913
45,188,Amar,"Uma comédia sobre um assunto triste: o amor não correspondido. Frederico, que amava Laura, que amava Joana, que amava Raimundo, que amava Lídia, e assim por diante... Um assunto que todos nós, infelizmente, já conhecemos.",Carlos Gregório,1997,,44851
46,189,Cavalinho Azul,"Era uma vez um menino, chamado Vicente, que tinha um cavalo, para seus pais, um velho pangaré marrom, bem feio e magro. Para Vicente, um lindo cavalo azul. Passando dificuldades, os pais vendem o pangaré para comprar mantimentos. Recuperar ser cavalinho azul é a missão e a aventura de Vicente.",Eduardo Escorel,1984,,40083
47,190,Portinholas,"Maria Luiza, uma adolescente de 14 anos, descobre no livro ""Portinholas"" e nos quadros de Portinari o encantamento da vida e do mundo da arte.",150 alunos da rede municipal de ensino de fundamental de Vitó,1,1,14093
48,191,Cidade oculta,"Cidade Oculta é uma aventura violentamente urbana, passada na noite paulistana e conta a história de um marginal  Anjo, sua namorada Shirley Sombra, misto de estrela de shows e bandida, o velho companheiro Japa e finalmente o arquivilão, um policial corrupto conhecido como Ratão.",Chico Botelho,1986,Crime,95555
49,192,A hora da estrela,"Macabéa, uma jovem órfa, só no mundo, aos 19 anos. Analfabeta, ingênua e virgem, vem do nordeste tentar a vida em São Paulo. O filme mostra a história do encontro patético deste ser humano com as artimanhas da cidade grande. Macabéa é tão desastrada que o tempo todo ela dói por dentro. Não sabe, como os outros, que esta dor tem de ser dissimulada por baixo das máscaras sociais. Toma aspirinas para ver se passa. Veste então as máscaras, mas não lhe caem bem.",Suzana Amaral,1985,Migração,9751
50,452,O livro de Walachai,"Em Walachai, uma pequena comunidade alemã no sul do Brasil, vive o professor e agricultor Benno Wendling. Ele escreveu à mão, a história do povoado em livro de caprichada caligrafia. O Livro de Walachai  revela um Brasil muito diferente e desconhecido da maioria dos brasileiros.",Rejane Zilles,2007,,11603
51,193,Meteorango Kid - Heroi intergalático,"O filme narra, de maneira anárquica e irreverente, as aventuras de Lula, um estudante universitário, no dia do seu aniversário. De forma absolutamente despojada, mostra, sem rodeios, o perfil de um jovem desesperado, representante de uma geração oprimida pela ditadura militar e pela moral retrógrada de uma sociedade passiva e hipócrita. O anti-herói intergaláctico atravessa este labirinto cotidiano através das suas fantasias e delírios libertários, deixando atrás de si um rastro de inconformismo e um convite à rebelião em todos os níveis.",André Luiz Oliveira,1969,"Comportamento Social; É Proibido Proibir, Cinema Udigrudi",20927
52,194,Onde andará Petrúcio Felker,A conturbada trajetória do artista plástico perfomático Petrucio Felker é traçada por meio de diversos depoimentos.,Allan Sieber,2001,Artes Plásticas,41330
53,195,O2 Conjunto Residencial,"Numa tediosa noite de sábado, um morador de um prédio residencial decide fixar um trampolim na janela de seu quarto. Foi a melhor coisa que eles acharam pra fazer num sábado à tarde, e agora todos querem experimentar as sensações.... ",Adams Carvalho,2005,Não disponível,16784
54,196,Engolervilha,"Trabalho coletivo composto por vinhetas bizarras ou escatológicas. Pense no que uma ervilha pode sugerir numa animação: verdinha, marronzinha... O sórdido, o pútrido e o fétido. O bizarro, o esctológico e o grotesco. Ervilhas, urina e galináceas.",Marã,1,1,12808
55,448,Clandestina felicidade,"A infância da escritora Clarice Lispector: seu amor pelos animais e sua paixão pelos livros. O filme reúne alguns contos/crônicas de quando criança na cidade do Recife (nordeste do Brasil) na década de 20. Olhar curioso, perplexo, e descoberta do mundo na menina Clarice.",Beto Normal e Marcelo Gomes,1998,,49075
56,197,Desirella,"Vivendo num conto de fadas, a velha Desirella numa desesperada tentativa de transcendência, obtém um par de sapatos mágicos que a torna jovem.",Carlos Eduardo Nogueira,2004,,33715
57,198,Deu no jornal,A saga de um solitário e suas fantasias desenhadas em esferográfica num jornal velho.,Yanko del Pino,2005,,63090
58,199,Pax,Quatro religiosos se reúnem para discutir a violência do mundo atual e encontrar uma resposta para isso. Será que encontram?,Paulo Munhoz,2005,,63720
59,200,Os fiéis,"Três amigos contam as aventuras vividas durante uma famosa partida de futebol. Falam de  lembranças, a euforia e a sensação de viverem um momento histórico.",Danilo Solferini,2003,Futebol,16994
60,201,Comprometendo a atuação,"Wallace é um jogador de futebol com um dilema. Aos dezoito anos, tem a chance de ser convocado para um time de primeira divisão. Mas isso vai depender de muito preparo, muita concentração e nada de sexo antes do jogo.",Bruno Bini,2006,Esporte,46496
61,202,Perigo negro,"Ascensão e queda de um jogador de futebol vistas por um torcedor fanático e sua mulher volúvel, deslumbrada pelo cartola Moscosão, que liquida com a carreira do craque.",Rogério Sganzerla,1992,Literatura,28401
62,203,Do dia em que Macunaíma e Gilberto Freyre visitaram...,"Com Tia Ciata, Freyre, Macunaíma e samba no nascimento de uma nação",Sérgio Zeigler e Vitor Angelo,1998,História,93459
63,204,Operação Morengueira,"Após invasão da Lapa por um bando de terroristas, boêmio incauto tem uma visão mediúnica de Kid Morengueira, recebendo o velho malandro a missão de acabar com a xavecagem no bairro boêmio. Super bang-bang inspirado nos sambas de breque de Moreira da Silva e Meguel Gustavo",Chico Serra,2005,Moreira da Silva,85508
64,446,Nelson Sargento,Retrato biográfico do sambista Nelson Sargento durante uma visita ao Morro da Mangueira – Rio de Janeiro.,Estevão Ciavatta,1997,,91550
65,205,Com que roupa?,"Um dia na vida de um compositor. Entre brigas de bar, más notícias sobre sua saúde e desencontros com a namorada, Noel Rosa compôs o samba ""Com que Roupa ?""",Ricardo van Steen,1996,Música Popular Brasileira,67431
66,206,O lençol branco,"Em uma casa de subúrbio, uma mulher é obrigada a lidar com a presença da morte.",Juliana Rojas e Marco Dutra,2004,Morte,54708
67,207,Produto descartável,"Dois vizinhos que se desejam lutam contra os estereótipos que criaram para si mesmo. Uma divertida comédia urbana, repleta de clichês nos quais todos se posicionam como verdadeiros produtos descartáveis. Sexo, nudez e violência - tudo o que você sempre quis ver em um único filme.",Flavia Rea e Rafael Primot,2003,,11306
68,208,Veludo & cacos-de-vidro,"Os altos e baixos de uma história de amor, numa releitura do cinema marginal brasileiro.",Marco Martins,2004,Não disponível,61018
69,209,Um sol alaranjado,Quatro dias na vida de uma mulher e seu pai.,Eduardo Valente,2001,,67667
70,210,Rua da Escadinha 162,Documentário sobre o acervo do pesquisador e colecionador Christiano Câmara: suas idéias e sua luta para preservar seu acervo.,Márcio Câmara,2002,Christiano Câmara,88886
71,211,Seu Minervino e a viola caipira,"Seu Minervino é carpinteiro e mestre na arte de fazer e tocar viola, dividindo seu tempo entre o trabalho da roça e o trabalho de fazedor de instrumentos musicais.",Pedro Dacosta Lyra,2005,"Musica brasileira, cultura sertaneja, viola, música, instrumentos musicais",55346
72,212,Viva volta,"Documentário sobre o trombonista brasileiro Raul de Souza que, desde 1971, vive em Paris e sofre com a falta de reconhecimento em seu País de origem. Com o som do seu trombone ao fundo, o filme leva o personagem de volta a Bangu, na cidade do Rio de Janeiro, e reconstrói sua trajetória. Revisita Saravah (filme de 1969) e, em 2005, promove o reencontro dele com Maria Bethânia. Juntos, celebram a devoção à música.",Heloisa Passos,2005,Raul de Souza,68657
73,213,Pânico em SP,"Os punks de São Paulo, vistos em seus redutos e nas ruas da cidade. Depoimentos em off sobre seu modo de vida, sua visão da sociedade, seus conflitos com a polícia. Imagens de um show punk, com jovens dançando. Canções dos grupos Olho Seco, Incocentes e Cólera.",Cláudio Morelli,1982,Comportamento Social,9119
74,214,Memória de Deus e do Diabo em Monte Santo e Cocorobó,"Evocação dos caminhos percorridos por Glauber Rocha em Monte Santo e Cocorobó, Serra de Canudos, Bahia, quando filmava Deus e o Diabo na Terra do Sol. Paralelismo entre vigor e o rigor místico dos propósitos de Antônio Conselheiro e do cineasta, dirigidos pela ânsia de despertar a consciência dos homens e promover a liberdade.",Agnaldo Siri Azevedo,1984,Deus e o Diabo na Terra do Sol,94265
75,215,De Glauber para Jirges,"Por meio de trechos de cartas enviadas por Glauber Rocha ao seu amigo e colaborador Jirges Ristum, na metade dos efervescentes anos 70 , descobrimos um pouco da relação de Glauber com a Itália e com o cinema, bem como sua perspectiva sobre as condições sócio-político-culturais brasileiras naquela época. O filme também traz um pouco da intimidade de Glauber,contida nas cartas ao amigo, que é reconstruída mediante escritos, filmes Super 8  antigos e poesias. Uma homenagem do diretor a seu pai, Jinges, e a Glauber Rocha, ambos falecidos nos primeiros anos da década de oitenta.",André Ristum,2005,Cinema,58792
76,444,Batuque na cozinha,"O filme apresenta as “tias” Eunice, Doca e Surica – Pastoras da Velha Guarda da Portela, conhecidas e respeitadas no mundo do samba por comandar tradicionais rodas de fundo de quintal, eventos que remontam ao século 19, quando baianas da Praça XI, como Tia Ciata, abriam seus quintais para batucadas, umbigadas, capoeira e samba. “O samba nasceu e cresceu no quintal dessas tias”, afirma Tia Eunice. ",Anna Azevedo,2004,,43884
77,216,A voz do morto,A trajetória do grandes cineasta Glauber Rocha.,Sérgio Zeigler e Vitor Angelo,1993,Cinema,42573
78,217,A degola fatal,Documentário que resgata imagens inéditas feitas originariamente em super 8 em 22 de agosto de 1981 e que mostram o funeral do cineasta Glauber Rocha narrado por ele mesmo.,Clóvis Molinari Junior e Ricardo Favilla,2004,Não disponível,13722
79,218,Chapeleiros,"Filmado em Campinas, S.P. em uma fábrica de chapéus do início do século, o filme evoca uma produção industrial opressiva onde a anormalidade se torna normalidade e os detalhes banais do cotidiano se tornam expressões de resistência humana.",Adrian Cooper,1983,Trabalho,97735
80,219,O chapéu do meu avô,"Mostra a  aproximação entre a documentarista e seu avô, dono da última fábrica de chapéus do Brasil. Entre visitas a velhos chapeleiros, mexericos nas gavetas e armários do avô, roldanas de máquinas antigas e narrações e imagens de histórias passadas, o documentário capta a passagem do tempo, os sentimentos e sutilezas das relações familiares e das relações construídas naquela antiga fábrica.",Julia Zakia,2004,,14611
81,220,Sonhozzz,O processo de está acordado e ao mesmo tempo viver a claustrofóbica sensação de um sonho tumultuado.,Paulo F. Camacho,2005,,6708
82,221,Alma nua,Sutil aproximação ao feminino.,Helvécio Marins Júnior,2003,,20742
83,222,Man.Road.River,Um homem. Uma estrada. Um rio. Uma silhueta que atravessa um rio compõe o único e impactante plano em preo-e-branco.,Marcellvs L.,2004,"Videoart, experimental, instalação",80032
84,223,Dá-dos,"Um jogo de montagem comrestos cinematográficos, buscando o risco de enfrentar formalmente e conceitualmente os contigentes imprevisíveis do acaso. Os dados foram lançados.",Pedro Palhares Fernandes,2003,Cinema,70429
85,224,O princípio feminino do sol,"Um dia, sol e vento fizeram uma aposta para ver quem era o mais poderoso e reinaria sobre os céus.",Núcleo Patrícia Bárbara,2003,,62634
86,225,Banco de sangue,A reação de um garoto diante da violência dos adultos e do excesso de TV.,Luiz Montes,1998,Criança,51840
87,1001,O príncipe,"Sinopse     ""O PRÍNCIPE""Gustavo, um homem de meia idade, vive em Paris há mais de vinte anos, uma vidinha pacata de intelectual sul-americano , feita de conferências, palestras, traduções e artigos para publicações especializadas, de pouca tiragem mas de muito prestígio.Durante todo esse tempo Gustavo não tinha feito nenhuma visita ao Brasil. Várias vezes esteve a ponto de voltar, mas as razões para a viagens de alguma maneira acabaram superadas e Gustavo pôde continuar fruindo de sua paz na Rive Gauche, sem maiores sobressaltos.O tempo, porém, sempre ele, acaba por desarrumar os arranjos mais convenientes. A mãe de Gustavo se tornava cada vez mais frágil com a idade e além disso um seu sobrinho, praticamente o ultimo parente que lhe restara além da mãe, adoecera.Gustavo precisa voltar. Pelo menos para verificar como estão as coisas com a sua família.O filme na verdade começa com Gustavo chegando em São Paulo.A partir dessa chegada o filme trata dos diversos sentimentos, sensações, acontecimentos e descobertas que Gustavo faz sobre uma cidade que deixou há mais de vinte anos e que se transforma na velocidade de São Paulo. Essa viagem de Gustavo pela sua cidade que não existe mais, e seu encontro com amigos que não são mais os mesmos, vão dar o tom do filme, vagamente nostálgico, suavemente sarcástico, algumas vezes melancólico, muitas vezes hilariante, quase uma comédia.Gustavo, pouco a pouco, percebe que está revisitando fantasmas, revolvendo ruínas e tentando recapturar o passado, o que, como todos sabemos , é um sonho impossível.""O Príncipe"" é um filme sobre memórias, com um clima meio outonal, essa estação do ano indecisa entre o calor e o frio que vai chegar, onde se tem sobretudo a sensação de que alguma coisa lentamente está indo embora. “O Príncipe” é essencialmente a viagem de um homem de volta á sua cidade, que infelizmente não existe mais, e seus encontros com velhos amigos que, infelizmente, também não são mais os mesmos. Recapturar o passado é, como todos sabemos, um sonho impossível. Essa tentativa, no entanto, é o que dá o tom do filme: ás vezes melancólico, muitas vezes hilariante.",Ugo giorgetti,2002,,66011
88,227,Para sempre assim,"Um casal lida com problemas de comunicação e relacionamento, algo muito pessoal, mas também universal. É um conto urbano que passa em São Paulo, mas poderia ser qualquer outra cidade grande.",João Carlos Lemos e Róger Carlomagno,2001,Comportamento social,81172
89,228,Arpoador,Um dia no Arpoador contado através de fotografias.,Fernanda Ramos,2005,,79359
90,229,Jugular,"O curta experiemntal é composto por fotografias coloridas e mostra o encontro entre um rapaz e uma moça, à noite, culminando em um viaduto.",Fernanda Ramos,1997,,56067
91,230,Juvenília,"Jovens se encontram para um ritual de violência, sendo observados por uma possível vítima",Paulo Sacramento,1994,Não disponível,74876
92,231,Imensidade,"O curta tem como fio condutor ""O Navio Negreiro"", poema épico abolicionista de Castro Alves. A exemplo de outras obras do período romântico, ""O Navio Negreiro"" foi concebido para ser lido em praça pública.  Idalina, único personagem ficcional do filme, o faz agora pelas ruas da cidade.",Amilcar Monteiro Claro,2003,,75591
93,232,Biografia do tempo,"Uma reflexão sobre a memória, construída pelo encontro das obras do brasileiro Pedro Nava e do cubano Santiago Alvarez.",Joana Oliveira e Marcos Pimentel,2004,Literatura,87829
94,233,A moça que dançou depois de morta,"Baseado em uma história de cordel de J. Borges, renomado artista popular e produzido inteiramente com xilogravuras originais do próprio autor, esse curta metragem em animação conta a história de um rapaz que se apaixona por uma misteriosa moça num baile de carnaval do interior, sem saber que esse encontro iria mudar a sua vida para sempre.",Ítalo Cajueiro,2003,"Literatura; Adaptação para cinema""",25068
95,234,Meu nome é Paulo LeminsKi,"Embate entre pai e filho em torno de poesia de Paulo Leminski. ""Tudo que eu faço, alguém em mim que eu desprezo sempre acha o máximo; mal rabisco, não dá mais para mudar nada, já é um clássico"".",Cezar Migliorin,2004,,57564
96,235,Transubstancial,Uma visão existencialista da obra do poeta Augusto dos Anjos a partir de fragmentos de seus poemas.,Torquato Joel,2003,Literatura,53254
97,236,Françoise,Uma garota chamada Françoise. Um viajante esperando a partida. Dois solitários numa estação rodoviária. Adaptação do conto homônimo de Luiz Vilela.,Rafael Conde,2001,Literatura,64868
